學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度,city_name,總計,sector,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,華語先修生男,華語先修生女
1065,吳鳳科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,10 嘉義縣,2 技職,112,嘉義縣,35.0,私立,24.0,11.0,5.0,7.0,17.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1065,吳鳳科技大學,N 職,M 碩士,,,,,,,,,,,,,,,,,10 嘉義縣,2 技職,112,嘉義縣,61.0,私立,37.0,24.0,22.0,18.0,14.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1065,吳鳳科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,10 嘉義縣,2 技職,112,嘉義縣,2223.0,私立,1432.0,791.0,319.0,190.0,298.0,174.0,413.0,192.0,356.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,14.0,,
1065,吳鳳科技大學,N 修,B 四技,,,,,,,,,,,,,,,,,10 嘉義縣,2 技職,112,嘉義縣,549.0,私立,405.0,144.0,94.0,34.0,80.0,31.0,112.0,32.0,98.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,,
1065,吳鳳科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,10 嘉義縣,2 技職,112,嘉義縣,738.0,私立,364.0,374.0,0.0,0.0,0.0,0.0,177.0,184.0,187.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,
1065,吳鳳科技大學,N 修,2 二專,,,,,,,,,,,,,,,,,10 嘉義縣,2 技職,112,嘉義縣,176.0,私立,82.0,94.0,32.0,52.0,50.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1066,環球科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,09 雲林縣,2 技職,112,雲林縣,45.0,私立,22.0,23.0,0.0,0.0,12.0,15.0,3.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1066,環球科技大學,N 職,M 碩士,,,,,,,,,,,,,,,,,09 雲林縣,2 技職,112,雲林縣,28.0,私立,10.0,18.0,0.0,0.0,4.0,4.0,4.0,6.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1066,環球科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,09 雲林縣,2 技職,112,雲林縣,664.0,私立,354.0,310.0,0.0,0.0,76.0,54.0,99.0,58.0,123.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,49.0,,
1066,環球科技大學,N 修,B 四技,,,,,,,,,,,,,,,,,09 雲林縣,2 技職,112,雲林縣,127.0,私立,63.0,64.0,0.0,0.0,13.0,18.0,15.0,8.0,26.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,,
1066,環球科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,09 雲林縣,2 技職,112,雲林縣,116.0,私立,38.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,,
1066,環球科技大學,N 修,2 二專,,,,,,,,,,,,,,,,,09 雲林縣,2 技職,112,雲林縣,38.0,私立,24.0,14.0,0.0,0.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,,
1069,修平科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,06 臺中市,2 技職,112,臺中市,93.0,私立,54.0,39.0,27.0,17.0,20.0,18.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1069,修平科技大學,N 職,M 碩士,,,,,,,,,,,,,,,,,06 臺中市,2 技職,112,臺中市,55.0,私立,43.0,12.0,20.0,2.0,16.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1069,修平科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,06 臺中市,2 技職,112,臺中市,2131.0,私立,1480.0,651.0,323.0,195.0,304.0,174.0,331.0,104.0,431.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,23.0,,
1069,修平科技大學,N 修,B 四技,,,,,,,,,,,,,,,,,06 臺中市,2 技職,112,臺中市,901.0,私立,834.0,67.0,114.0,10.0,192.0,14.0,224.0,16.0,241.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,4.0,,
1069,修平科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,06 臺中市,2 技職,112,臺中市,650.0,私立,431.0,219.0,0.0,0.0,0.0,0.0,205.0,126.0,217.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,,
1069,修平科技大學,N 修,2 二專,,,,,,,,,,,,,,,,,06 臺中市,2 技職,112,臺中市,2.0,私立,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,
1070,長庚科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,03 桃園市,2 技職,112,桃園市,80.0,私立,10.0,70.0,7.0,25.0,2.0,32.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1070,長庚科技大學,N 職,M 碩士,,,,,,,,,,,,,,,,,03 桃園市,2 技職,112,桃園市,165.0,私立,6.0,159.0,3.0,40.0,2.0,41.0,1.0,39.0,0.0,19.0,0.0,12.0,0.0,6.0,0.0,2.0,0.0,0.0,,
1070,長庚科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,03 桃園市,2 技職,112,桃園市,3295.0,私立,481.0,2814.0,129.0,701.0,118.0,675.0,125.0,707.0,102.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,,
1070,長庚科技大學,D 日,C 二技,,,,,,,,,,,,,,,,,03 桃園市,2 技職,112,桃園市,1439.0,私立,118.0,1321.0,0.0,0.0,0.0,0.0,59.0,667.0,58.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,
1070,長庚科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,03 桃園市,2 技職,112,桃園市,1134.0,私立,74.0,1060.0,0.0,0.0,0.0,0.0,39.0,539.0,33.0,493.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,7.0,,
1071,臺北城市科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,30 臺北市,2 技職,112,臺北市,97.0,私立,64.0,33.0,22.0,16.0,21.0,7.0,14.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1071,臺北城市科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,30 臺北市,2 技職,112,臺北市,6016.0,私立,3686.0,2330.0,795.0,676.0,808.0,625.0,802.0,393.0,889.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,170.0,,
1071,臺北城市科技大學,N 修,B 四技,,,,,,,,,,,,,,,,,30 臺北市,2 技職,112,臺北市,659.0,私立,518.0,141.0,137.0,38.0,125.0,33.0,115.0,26.0,120.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,,
1071,臺北城市科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,30 臺北市,2 技職,112,臺北市,421.0,私立,232.0,189.0,0.0,0.0,0.0,0.0,133.0,85.0,97.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,,
1071,臺北城市科技大學,D 日,2 二專,,,,,,,,,,,,,,,,,30 臺北市,2 技職,112,臺北市,19.0,私立,15.0,4.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1071,臺北城市科技大學,N 修,2 二專,,,,,,,,,,,,,,,,,30 臺北市,2 技職,112,臺北市,307.0,私立,172.0,135.0,90.0,69.0,78.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,
1071,臺北城市科技大學,D 日,5 五專,,,,,,,,,,,,,,,,,30 臺北市,2 技職,112,臺北市,745.0,私立,463.0,282.0,88.0,62.0,85.0,47.0,101.0,53.0,77.0,56.0,104.0,60.0,0.0,0.0,0.0,0.0,8.0,4.0,,
1072,敏實科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,04 新竹縣,2 技職,112,新竹縣,479.0,私立,313.0,166.0,122.0,80.0,47.0,64.0,55.0,11.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,
1072,敏實科技大學,N 修,B 四技,,,,,,,,,,,,,,,,,04 新竹縣,2 技職,112,新竹縣,122.0,私立,75.0,47.0,42.0,9.0,9.0,14.0,5.0,12.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,,
1072,敏實科技大學,D 日,5 五專,,,,,,,,,,,,,,,,,04 新竹縣,2 技職,112,新竹縣,101.0,私立,44.0,57.0,6.0,15.0,11.0,8.0,7.0,7.0,8.0,9.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,,
1073,醒吾科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,49.0,私立,16.0,33.0,8.0,9.0,6.0,9.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1073,醒吾科技大學,N 職,M 碩士,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,79.0,私立,32.0,47.0,11.0,19.0,12.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,,
1073,醒吾科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,4954.0,私立,2028.0,2926.0,428.0,797.0,446.0,639.0,505.0,728.0,539.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,113.0,,
1073,醒吾科技大學,N 修,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,499.0,私立,246.0,253.0,78.0,71.0,48.0,58.0,55.0,71.0,51.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,,
1073,醒吾科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,328.0,私立,139.0,189.0,0.0,0.0,0.0,0.0,71.0,105.0,66.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,,
1073,醒吾科技大學,N 修,2 二專,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,53.0,私立,25.0,28.0,8.0,7.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,
1073,醒吾科技大學,D 日,5 五專,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,138.0,私立,55.0,83.0,0.0,0.0,7.0,17.0,16.0,22.0,19.0,23.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,,
1075,文藻外語大學,D 日,M 碩士,,,,,,,,,,,,,,,,,50 高雄市,2 技職,112,高雄市,224.0,私立,65.0,159.0,20.0,41.0,17.0,43.0,16.0,35.0,11.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,
1075,文藻外語大學,N 職,M 碩士,,,,,,,,,,,,,,,,,50 高雄市,2 技職,112,高雄市,57.0,私立,17.0,40.0,4.0,10.0,6.0,7.0,2.0,10.0,3.0,5.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,,
1075,文藻外語大學,D 日,B 四技,,,,,,,,,,,,,,,,,50 高雄市,2 技職,112,高雄市,3922.0,私立,1189.0,2733.0,254.0,570.0,264.0,559.0,263.0,667.0,293.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,242.0,,
1075,文藻外語大學,N 修,B 四技,,,,,,,,,,,,,,,,,50 高雄市,2 技職,112,高雄市,863.0,私立,331.0,532.0,60.0,81.0,34.0,73.0,63.0,111.0,105.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,124.0,,
1075,文藻外語大學,D 日,C 二技,,,,,,,,,,,,,,,,,50 高雄市,2 技職,112,高雄市,162.0,私立,29.0,133.0,0.0,0.0,0.0,0.0,16.0,47.0,7.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,,
1075,文藻外語大學,N 修,C 二技,,,,,,,,,,,,,,,,,50 高雄市,2 技職,112,高雄市,115.0,私立,26.0,89.0,0.0,0.0,0.0,0.0,14.0,34.0,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,,
1075,文藻外語大學,D 日,5 五專,,,,,,,,,,,,,,,,,50 高雄市,2 技職,112,高雄市,1919.0,私立,337.0,1582.0,93.0,371.0,63.0,352.0,68.0,312.0,51.0,267.0,53.0,258.0,0.0,0.0,0.0,0.0,9.0,22.0,,
1076,華夏科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,17.0,私立,14.0,3.0,0.0,0.0,5.0,2.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1076,華夏科技大學,N 職,M 碩士,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,29.0,私立,21.0,8.0,0.0,0.0,13.0,2.0,7.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1076,華夏科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,598.0,私立,400.0,198.0,0.0,0.0,74.0,29.0,127.0,57.0,150.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,39.0,,
1076,華夏科技大學,N 修,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,423.0,私立,276.0,147.0,0.0,0.0,58.0,43.0,69.0,44.0,131.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,,
1076,華夏科技大學,D 日,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,28.0,私立,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,
1076,華夏科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,197.0,私立,116.0,81.0,0.0,0.0,0.0,0.0,1.0,0.0,102.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,,
1076,華夏科技大學,N 修,2 二專,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,9.0,私立,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
1076,華夏科技大學,D 日,5 五專,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,349.0,私立,280.0,69.0,1.0,0.0,50.0,12.0,70.0,20.0,89.0,22.0,62.0,15.0,0.0,0.0,0.0,0.0,8.0,0.0,,
1077,慈濟科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,112,花蓮縣,85.0,私立,20.0,65.0,9.0,23.0,8.0,15.0,2.0,14.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1077,慈濟科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,112,花蓮縣,1016.0,私立,400.0,616.0,95.0,126.0,75.0,134.0,105.0,176.0,96.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,12.0,,
1077,慈濟科技大學,D 日,C 二技,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,112,花蓮縣,261.0,私立,30.0,231.0,0.0,0.0,0.0,0.0,9.0,114.0,21.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1077,慈濟科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,112,花蓮縣,167.0,私立,15.0,152.0,0.0,0.0,0.0,0.0,6.0,96.0,8.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,,
1077,慈濟科技大學,D 日,2 二專,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,112,花蓮縣,16.0,私立,1.0,15.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1077,慈濟科技大學,D 日,5 五專,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,112,花蓮縣,1291.0,私立,177.0,1114.0,29.0,236.0,30.0,202.0,26.0,204.0,40.0,235.0,39.0,202.0,0.0,0.0,0.0,0.0,13.0,35.0,,
1078,致理科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,54.0,私立,15.0,39.0,8.0,21.0,4.0,15.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1078,致理科技大學,N 職,M 碩士,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,54.0,私立,16.0,38.0,7.0,13.0,6.0,13.0,2.0,7.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1078,致理科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,6244.0,私立,2127.0,4117.0,502.0,1005.0,526.0,937.0,483.0,1033.0,487.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,156.0,,
1078,致理科技大學,N 修,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,2579.0,私立,1150.0,1429.0,274.0,247.0,221.0,263.0,252.0,368.0,255.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,142.0,,
1078,致理科技大學,D 日,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,216.0,私立,48.0,168.0,0.0,0.0,0.0,0.0,25.0,81.0,20.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,,
1078,致理科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,246.0,私立,80.0,166.0,0.0,0.0,0.0,0.0,51.0,90.0,29.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
1078,致理科技大學,D 日,5 五專,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,1558.0,私立,367.0,1191.0,94.0,235.0,82.0,242.0,67.0,239.0,69.0,243.0,52.0,210.0,0.0,0.0,0.0,0.0,3.0,22.0,,
1079,康寧大學,N 職,M 碩士,,,,,,,,,,,,,,,,,30 臺北市,1 一般,112,臺北市,5.0,私立,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
1079,康寧大學,D 日,B 學士,,,,,,,,,,,,,,,,,30 臺北市,1 一般,112,臺北市,156.0,私立,36.0,120.0,8.0,16.0,5.0,24.0,11.0,33.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,,
1079,康寧大學,N 修,C 二技,,,,,,,,,,,,,,,,,30 臺北市,2 技職,112,臺北市,195.0,私立,22.0,173.0,0.0,0.0,0.0,0.0,13.0,90.0,9.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1079,康寧大學,N 修,2 二專,,,,,,,,,,,,,,,,,30 臺北市,2 技職,112,臺北市,211.0,私立,53.0,158.0,17.0,76.0,19.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,,
1079,康寧大學,D 日,5 五專,,,,,,,,,,,,,,,,,30 臺北市,2 技職,112,臺北市,2676.0,私立,628.0,2048.0,136.0,459.0,136.0,434.0,115.0,380.0,119.0,379.0,107.0,318.0,0.0,0.0,0.0,0.0,15.0,78.0,,
1080,宏國德霖科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,39.0,私立,21.0,18.0,10.0,9.0,7.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1080,宏國德霖科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,1371.0,私立,824.0,547.0,150.0,113.0,165.0,124.0,182.0,126.0,221.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,43.0,,
1080,宏國德霖科技大學,N 修,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,731.0,私立,454.0,277.0,124.0,61.0,81.0,70.0,100.0,60.0,111.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,19.0,,
1080,宏國德霖科技大學,D 日,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,38.0,私立,14.0,24.0,0.0,0.0,0.0,0.0,8.0,7.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,
1080,宏國德霖科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,741.0,私立,460.0,281.0,0.0,0.0,0.0,0.0,230.0,152.0,210.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,,
1080,宏國德霖科技大學,D 日,5 五專,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,1070.0,私立,634.0,436.0,138.0,89.0,117.0,105.0,140.0,80.0,116.0,81.0,107.0,70.0,0.0,0.0,0.0,0.0,16.0,11.0,,
1081,東方設計大學,D 日,D 博士,,,,,,,,,,,,,,,,,12 高雄市,2 技職,112,高雄市,20.0,私立,11.0,9.0,0.0,0.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,,
1081,東方設計大學,D 日,M 碩士,,,,,,,,,,,,,,,,,12 高雄市,2 技職,112,高雄市,27.0,私立,12.0,15.0,0.0,0.0,6.0,7.0,4.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1081,東方設計大學,N 職,M 碩士,,,,,,,,,,,,,,,,,12 高雄市,2 技職,112,高雄市,6.0,私立,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1081,東方設計大學,D 日,B 四技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,112,高雄市,102.0,私立,53.0,49.0,0.0,0.0,1.0,2.0,2.0,3.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,22.0,,
1081,東方設計大學,N 修,B 四技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,112,高雄市,12.0,私立,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1081,東方設計大學,D 日,C 二技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,112,高雄市,4.0,私立,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,
1081,東方設計大學,N 修,C 二技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,112,高雄市,42.0,私立,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,,
1081,東方設計大學,N 修,2 二專,,,,,,,,,,,,,,,,,12 高雄市,2 技職,112,高雄市,11.0,私立,10.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,
1081,東方設計大學,D 日,5 五專,,,,,,,,,,,,,,,,,12 高雄市,2 技職,112,高雄市,121.0,私立,58.0,63.0,0.0,0.0,5.0,6.0,9.0,7.0,9.0,18.0,29.0,29.0,0.0,0.0,0.0,0.0,6.0,3.0,,
1082,崇右影藝科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,17 基隆市,2 技職,112,基隆市,33.0,私立,16.0,17.0,8.0,5.0,4.0,9.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1082,崇右影藝科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,17 基隆市,2 技職,112,基隆市,1112.0,私立,502.0,610.0,139.0,167.0,55.0,71.0,129.0,154.0,131.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,,
1083,台北海洋科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,126.0,私立,72.0,54.0,25.0,27.0,38.0,24.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1083,台北海洋科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,1972.0,私立,1141.0,831.0,330.0,238.0,275.0,204.0,266.0,180.0,177.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,44.0,,
1083,台北海洋科技大學,N 修,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,221.0,私立,93.0,128.0,37.0,32.0,16.0,41.0,20.0,20.0,14.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,,
1083,台北海洋科技大學,D 日,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,155.0,私立,103.0,52.0,0.0,0.0,0.0,0.0,38.0,32.0,54.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,,
1083,台北海洋科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,583.0,私立,248.0,335.0,0.0,0.0,0.0,0.0,110.0,172.0,134.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,,
1083,台北海洋科技大學,D 日,2 二專,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,10.0,私立,10.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1083,台北海洋科技大學,N 修,2 二專,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,150.0,私立,138.0,12.0,69.0,5.0,65.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,
1083,台北海洋科技大學,D 日,5 五專,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,558.0,私立,346.0,212.0,67.0,43.0,86.0,34.0,69.0,55.0,54.0,29.0,63.0,45.0,0.0,0.0,0.0,0.0,7.0,6.0,,
1084,亞東科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,58.0,私立,45.0,13.0,18.0,4.0,16.0,6.0,6.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1084,亞東科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,112,新北市,3473.0,私立,2460.0,1013.0,679.0,332.0,529.0,199.0,546.0,220.0,608.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,24.0,,
