學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度,總計,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,華語先修生男,華語先修生女,city_name,sector
1053,元培醫事科技大學,N 職,M 碩士,3.0,13.0,5.0,16.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18 新竹市,2 技職,108,48.0,14.0,34.0,,,,,,,,,,,,,,,,,,,新竹市,私立
1053,元培醫事科技大學,N 修,B 四技,279.0,209.0,168.0,164.0,126.0,137.0,98.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,18 新竹市,2 技職,108,1337.0,707.0,630.0,,,,,,,,,,,,,,,,,,,新竹市,私立
1053,元培醫事科技大學,N 修,C 二技,0.0,0.0,0.0,0.0,56.0,153.0,72.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,18 新竹市,2 技職,108,520.0,132.0,388.0,,,,,,,,,,,,,,,,,,,新竹市,私立
1054,景文科技大學,D 日,M 碩士,12.0,5.0,17.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01 新北市,2 技職,108,45.0,32.0,13.0,,,,,,,,,,,,,,,,,,,新北市,私立
1054,景文科技大學,D 日,B 四技,533.0,782.0,587.0,712.0,550.0,617.0,430.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,157.0,01 新北市,2 技職,108,5070.0,2281.0,2789.0,,,,,,,,,,,,,,,,,,,新北市,私立
1054,景文科技大學,D 日,C 二技,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01 新北市,2 技職,108,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,新北市,私立
1054,景文科技大學,N 職,M 碩士,14.0,12.0,12.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01 新北市,2 技職,108,47.0,29.0,18.0,,,,,,,,,,,,,,,,,,,新北市,私立
1054,景文科技大學,N 修,B 四技,254.0,223.0,117.0,115.0,137.0,146.0,162.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.0,01 新北市,2 技職,108,1343.0,695.0,648.0,,,,,,,,,,,,,,,,,,,新北市,私立
1054,景文科技大學,N 修,C 二技,0.0,0.0,0.0,0.0,103.0,107.0,44.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,01 新北市,2 技職,108,342.0,150.0,192.0,,,,,,,,,,,,,,,,,,,新北市,私立
1055,中華醫事科技大學,D 日,M 碩士,24.0,24.0,19.0,22.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11 臺南市,2 技職,108,96.0,48.0,48.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1055,中華醫事科技大學,D 日,B 四技,224.0,479.0,424.0,628.0,347.0,521.0,347.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,57.0,11 臺南市,2 技職,108,3585.0,1445.0,2140.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1055,中華醫事科技大學,D 日,C 二技,0.0,0.0,0.0,0.0,93.0,267.0,92.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,11 臺南市,2 技職,108,706.0,188.0,518.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1055,中華醫事科技大學,D 日,2 二專,23.0,22.0,35.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11 臺南市,2 技職,108,93.0,58.0,35.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1055,中華醫事科技大學,D 日,5 五專,137.0,487.0,150.0,491.0,150.0,529.0,130.0,458.0,108.0,382.0,0.0,0.0,0.0,0.0,10.0,25.0,11 臺南市,2 技職,108,3057.0,685.0,2372.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1055,中華醫事科技大學,N 職,M 碩士,6.0,8.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11 臺南市,2 技職,108,27.0,14.0,13.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1055,中華醫事科技大學,N 修,B 四技,100.0,150.0,64.0,86.0,56.0,78.0,63.0,89.0,4.0,18.0,0.0,0.0,0.0,0.0,34.0,28.0,11 臺南市,2 技職,108,770.0,321.0,449.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1055,中華醫事科技大學,N 修,C 二技,0.0,0.0,0.0,0.0,80.0,243.0,79.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,11 臺南市,2 技職,108,656.0,173.0,483.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1056,東南科技大學,D 日,M 碩士,40.0,16.0,40.0,22.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01 新北市,2 技職,108,129.0,91.0,38.0,,,,,,,,,,,,,,,,,,,新北市,私立
1056,東南科技大學,D 日,B 四技,858.0,446.0,821.0,405.0,630.0,310.0,635.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,88.0,01 新北市,2 技職,108,4757.0,3141.0,1616.0,,,,,,,,,,,,,,,,,,,新北市,私立
1056,東南科技大學,N 職,M 碩士,18.0,4.0,20.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01 新北市,2 技職,108,48.0,40.0,8.0,,,,,,,,,,,,,,,,,,,新北市,私立
1056,東南科技大學,N 修,B 四技,170.0,73.0,147.0,39.0,90.0,16.0,67.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,01 新北市,2 技職,108,640.0,497.0,143.0,,,,,,,,,,,,,,,,,,,新北市,私立
1056,東南科技大學,N 修,C 二技,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,01 新北市,2 技職,108,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,新北市,私立
1057,德明財經科技大學,D 日,M 碩士,6.0,4.0,8.0,10.0,6.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,2 技職,108,44.0,27.0,17.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1057,德明財經科技大學,D 日,B 四技,721.0,1047.0,739.0,1033.0,550.0,814.0,634.0,978.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,190.0,30 臺北市,2 技職,108,6905.0,2843.0,4062.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1057,德明財經科技大學,D 日,C 二技,0.0,0.0,0.0,0.0,16.0,38.0,25.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30 臺北市,2 技職,108,127.0,41.0,86.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1057,德明財經科技大學,N 職,M 碩士,5.0,8.0,10.0,5.0,6.0,3.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,2 技職,108,48.0,30.0,18.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1057,德明財經科技大學,N 修,B 四技,72.0,67.0,51.0,35.0,81.0,60.0,113.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,37.0,30 臺北市,2 技職,108,655.0,351.0,304.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1057,德明財經科技大學,N 修,C 二技,0.0,0.0,0.0,0.0,15.0,14.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30 臺北市,2 技職,108,47.0,20.0,27.0,,,,,,,,,,,,,,,,,,,臺北市,私立
1058,明道大學,D 日,D 博士,6.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,07 彰化縣,1 一般,108,29.0,19.0,10.0,,,,,,,,,,,,,,,,,,,彰化縣,私立
1058,明道大學,D 日,M 碩士,37.0,29.0,24.0,22.0,18.0,19.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07 彰化縣,1 一般,108,162.0,90.0,72.0,,,,,,,,,,,,,,,,,,,彰化縣,私立
1058,明道大學,D 日,B 學士,249.0,199.0,345.0,233.0,253.0,198.0,369.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,24.0,07 彰化縣,1 一般,108,2250.0,1310.0,940.0,,,,,,,,,,,,,,,,,,,彰化縣,私立
1058,明道大學,N 職,M 碩士,15.0,18.0,4.0,4.0,4.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07 彰化縣,1 一般,108,60.0,25.0,35.0,,,,,,,,,,,,,,,,,,,彰化縣,私立
